Y,gender,urban,party,fam_size,hukou,ethno,education,age_gap,edu_gap,gender_pref,mar_satisfy,work,work_hour,insurance,care_from_par,fin_from_par,fin_par,care_par,internet,social_trust,social_status,fixed_mind,growth_mind,religion,gover_evalu,reg_eldercare,reg_childcare,health,reg_medicare,house,fam_income,fam_income_rel,area,reg_econ,reg_svc,reg_urgap,reg_eduratio,reg_mobility
2,1,0,0,4,0,1,9,2,3,1,4,1,84,2,1,0,1,0,120,5.00 ,3,3.50 ,2.00 ,0,2,9,9,3,3,1,85000,2,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
1,1,1,0,4,1,1,16,2,0,1,5,2,70,5,1,0,0,0,240,5.75 ,3,3.00 ,3.00 ,0,4,6,6,3,4,0,200000,4,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,0,1,0,4,0,1,15,0,3,1,4,0,0,2,1,0,0,0,60,6.25 ,3,1.00 ,2.50 ,0,4,6,5,3,4,1,50000,1,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,0,1,0,4,1,1,12,2,0,1,5,2,4,2,0,0,0,0,180,7.25 ,3,1.00 ,5.00 ,0,4,8,8,4,4,1,65000,2,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,0,0,0,4,0,1,9,4,0,1,5,1,8,2,0,0,0,1,60,2.50 ,3,4.00 ,2.50 ,0,4,6,6,1,4,0,37500,1,2,73675 ,16881.6432 ,2.422 ,0.138 ,0.799 
2,1,0,0,4,0,1,9,0,0,1,5,1,56,2,1,0,1,1,180,6.75 ,3,4.00 ,5.00 ,0,4,7,5,3,4,0,100000,3,1,190313 ,34199.4048 ,2.418 ,0.086 ,0.942 
2,1,1,0,4,1,1,16,1,0,1,4,2,40,5,1,1,1,0,600,4.00 ,2,1.00 ,1.00 ,0,3,10,10,5,4,0,120000,3,1,68775 ,14918.8230 ,2.210 ,0.147 ,0.668 
1,1,1,1,2,1,1,16,4,6,1,5,2,40,5,0,0,1,0,240,6.00 ,4,3.00 ,3.00 ,0,4,6,3,3,4,1,500000,4,3,67777 ,14228.1586 ,2.315 ,0.131 ,0.597 
2,0,0,0,5,0,1,15,0,3,1,5,1,40,5,0,1,0,0,270,5.75 ,3,1.00 ,3.00 ,0,4,7,3,3,4,1,400000,4,1,179907 ,37952.1616 ,2.115 ,0.111 ,0.742 
1,1,0,0,5,1,1,12,0,3,1,4,1,40,4,1,0,0,1,240,3.75 ,3,3.00 ,2.50 ,0,4,7,6,3,4,1,400000,4,1,179907 ,37952.1616 ,2.115 ,0.111 ,0.742 
2,0,1,0,6,0,1,9,8,0,1,3,1,56,2,0,0,1,1,300,3.25 ,1,2.50 ,3.50 ,0,3,5,10,2,4,1,53000,2,2,73603 ,13676.8076 ,2.306 ,0.129 ,0.862 
2,1,1,0,4,0,1,12,5,3,1,5,1,70,1,0,0,1,0,120,2.50 ,4,3.00 ,2.50 ,0,3,10,3,3,4,0,100000,3,1,126829 ,13589.3505 ,2.154 ,0.113 ,0.809 
3,0,1,0,4,0,1,9,5,3,1,5,0,0,2,0,0,1,0,300,3.25 ,2,3.00 ,4.00 ,0,4,10,10,1,2,0,100000,3,1,126829 ,13589.3505 ,2.154 ,0.113 ,0.809 
2,0,1,0,5,0,1,9,4,0,1,5,0,0,1,0,0,0,0,300,5.50 ,3,3.00 ,3.00 ,0,3,5,5,3,5,1,70000,2,1,86003 ,11934.1041 ,2.218 ,0.112 ,0.716 
2,0,1,0,4,1,1,15,1,1,1,5,1,40,5,0,0,0,0,300,7.25 ,3,1.00 ,4.50 ,0,3,7,7,3,4,1,200000,4,1,86003 ,11934.1041 ,2.218 ,0.112 ,0.716 
1,1,1,0,3,0,1,12,3,0,1,4,1,40,5,1,0,0,0,120,6.00 ,3,2.00 ,4.00 ,0,3,7,7,3,4,0,40000,2,2,62106 ,10784.7954 ,2.058 ,0.146 ,0.723 
2,1,0,0,6,0,1,12,0,0,1,4,2,48,3,1,0,0,0,180,5.25 ,3,1.50 ,3.00 ,0,4,10,5,3,4,0,70000,1,2,62106 ,10784.7954 ,2.058 ,0.146 ,0.723 
2,0,0,0,3,0,1,9,3,6,1,3,1,60,0,0,0,0,1,180,5.75 ,3,1.50 ,5.00 ,0,3,5,5,5,4,0,50000,2,2,62106 ,10784.7954 ,2.058 ,0.146 ,0.723 
2,0,1,0,4,0,1,9,2,3,1,5,1,50,1,0,0,1,0,90,3.25 ,3,1.00 ,5.00 ,0,2,0,10,5,5,0,60000,2,2,62106 ,10784.7954 ,2.058 ,0.146 ,0.723 
2,0,1,0,4,1,1,15,1,0,1,4,1,20,1,0,0,0,0,240,7.25 ,3,2.50 ,5.00 ,0,2,8,8,4,4,1,205000,4,2,62106 ,10784.7954 ,2.058 ,0.146 ,0.723 
2,1,1,0,7,1,1,12,2,3,1,5,0,0,2,1,1,1,0,600,3.75 ,2,2.50 ,5.00 ,0,3,7,3,4,4,0,250000,3,1,190313 ,34199.4048 ,2.418 ,0.086 ,0.942 
2,0,1,0,4,1,1,15,0,1,0,3,2,40,5,1,1,1,0,600,5.50 ,3,3.00 ,3.00 ,0,3,10,10,3,4,1,204000,4,1,190313 ,34199.4048 ,2.418 ,0.086 ,0.942 
1,1,1,0,5,1,1,15,1,0,0,4,1,50,0,1,1,0,1,60,3.00 ,1,2.50 ,3.00 ,0,2,7,1,5,3,1,450000,4,1,190313 ,34199.4048 ,2.418 ,0.086 ,0.942 
1,0,1,0,5,1,1,15,1,0,1,5,1,40,5,0,0,1,0,180,4.25 ,3,3.00 ,5.00 ,0,4,5,1,3,3,1,450000,4,1,190313 ,34199.4048 ,2.418 ,0.086 ,0.942 
1,1,1,0,3,1,1,16,4,0,1,5,1,45,5,0,1,0,1,180,6.75 ,4,2.00 ,4.00 ,0,4,8,8,3,4,1,280000,4,1,190313 ,34199.4048 ,2.418 ,0.086 ,0.942 
1,0,1,0,3,1,1,16,4,0,1,4,1,40,5,0,0,0,1,120,6.25 ,2,2.50 ,4.00 ,0,4,6,7,3,2,1,280000,4,1,190313 ,34199.4048 ,2.418 ,0.086 ,0.942 
1,0,1,1,5,1,0,19,1,0,1,3,1,32,5,1,0,1,1,300,7.00 ,4,1.00 ,1.50 ,0,4,9,5,3,4,0,1180000,4,1,190313 ,34199.4048 ,2.418 ,0.086 ,0.942 
2,1,1,1,3,0,1,15,0,0,1,5,1,40,5,1,0,1,0,60,5.50 ,2,3.00 ,3.00 ,0,3,10,6,3,4,1,150000,4,2,62106 ,10784.7954 ,2.058 ,0.146 ,0.723 
2,0,1,0,4,1,1,12,3,4,1,5,2,40,5,1,1,1,1,200,6.00 ,3,2.00 ,3.50 ,0,4,7,7,4,4,1,90000,2,2,73598 ,13615.3998 ,2.420 ,0.142 ,0.755 
2,1,1,1,4,1,1,16,3,4,1,5,2,48,5,0,0,0,0,300,3.25 ,3,2.00 ,2.50 ,0,4,2,2,3,4,1,90000,2,2,73598 ,13615.3998 ,2.420 ,0.142 ,0.755 
2,0,1,0,4,0,1,12,2,3,1,4,1,25,2,0,0,1,0,0,2.50 ,3,3.00 ,3.50 ,0,3,8,7,3,4,1,60000,2,2,62106 ,10784.7954 ,2.058 ,0.146 ,0.723 
2,1,1,0,4,0,1,12,3,0,1,5,1,60,2,0,0,1,0,60,8.00 ,3,3.00 ,3.50 ,0,4,6,5,3,4,0,300000,4,1,101905 ,14642.5535 ,2.411 ,0.111 ,0.711 
2,0,1,0,4,0,1,12,3,0,1,3,1,96,2,0,0,1,0,600,7.50 ,4,1.50 ,2.00 ,0,3,7,8,3,4,0,300000,4,1,101905 ,14642.5535 ,2.411 ,0.111 ,0.711 
1,0,1,0,2,0,1,9,0,0,1,3,1,70,2,1,0,1,0,420,6.50 ,3,3.50 ,4.00 ,0,3,8,6,4,2,1,80000,3,2,73598 ,13615.3998 ,2.420 ,0.142 ,0.755 
2,1,0,0,6,0,1,6,3,3,1,3,1,80,2,1,0,0,0,180,4.00 ,3,4.00 ,4.50 ,0,4,6,5,3,2,1,150000,3,2,62106 ,10784.7954 ,2.058 ,0.146 ,0.723 
2,0,0,0,6,0,1,9,3,3,1,4,1,15,2,1,0,0,0,0,6.75 ,3,3.00 ,4.00 ,0,3,10,8,4,3,1,150000,3,2,62106 ,10784.7954 ,2.058 ,0.146 ,0.723 
2,0,1,0,4,1,1,15,3,1,1,3,1,48,5,0,0,0,0,480,4.00 ,2,2.50 ,3.00 ,0,3,7,6,3,4,1,240000,4,1,101905 ,14642.5535 ,2.411 ,0.111 ,0.711 
2,0,0,0,5,0,1,6,4,3,1,4,1,35,1,0,0,0,0,60,7.50 ,2,2.00 ,4.00 ,0,3,8,8,1,3,1,70000,2,1,101905 ,14642.5535 ,2.411 ,0.111 ,0.711 
3,0,1,0,1,0,1,9,3,0,1,4,1,48,5,0,0,1,0,360,6.00 ,3,2.50 ,4.50 ,0,3,8,8,2,4,0,75000,4,1,101905 ,14642.5535 ,2.411 ,0.111 ,0.711 
2,0,1,0,4,0,1,12,3,3,1,3,0,0,1,0,0,0,0,60,6.50 ,2,3.00 ,3.00 ,0,3,8,8,3,3,0,60000,3,2,73598 ,13615.3998 ,2.420 ,0.142 ,0.755 
2,1,0,0,4,0,1,9,0,7,1,5,1,50,5,0,0,1,0,180,4.75 ,3,3.00 ,3.00 ,1,2,8,7,3,4,0,350000,4,1,101905 ,14642.5535 ,2.411 ,0.111 ,0.711 
2,0,0,0,4,0,1,16,0,7,1,4,1,53,5,0,0,1,0,480,6.00 ,4,2.00 ,3.50 ,0,3,4,4,2,3,0,350000,4,1,101905 ,14642.5535 ,2.411 ,0.111 ,0.711 
2,0,1,0,6,0,0,9,7,0,0,4,1,70,1,0,0,0,0,60,6.50 ,2,1.00 ,3.00 ,0,4,7,5,3,4,1,68400,3,3,52164 ,11676.8774 ,2.277 ,0.124 ,0.800 
2,0,1,1,4,1,0,16,2,0,1,5,2,35,5,0,0,1,1,360,8.50 ,4,1.50 ,4.00 ,0,4,7,8,3,4,1,200000,4,3,52164 ,11676.8774 ,2.277 ,0.124 ,0.800 
3,1,0,1,6,0,0,0,2,0,1,5,1,56,2,1,0,0,1,120,3.25 ,3,1.00 ,5.00 ,0,3,10,0,3,2,1,30000,1,3,67777 ,14228.1586 ,2.315 ,0.131 ,0.597 
3,0,1,0,5,0,1,9,1,3,1,5,1,50,1,0,0,1,0,60,6.00 ,3,1.50 ,3.00 ,0,4,9,8,4,4,1,300000,4,1,101905 ,14642.5535 ,2.411 ,0.111 ,0.711 
2,0,1,0,6,0,1,9,1,0,1,4,2,60,5,0,0,1,0,30,4.50 ,3,3.00 ,4.00 ,0,4,8,5,3,4,1,100000,2,3,52164 ,11676.8774 ,2.277 ,0.124 ,0.800 
2,0,1,0,4,0,1,15,8,3,1,3,0,0,2,0,0,0,0,60,5.00 ,3,3.50 ,3.00 ,0,3,6,5,3,4,1,80000,2,3,82864 ,17090.4449 ,2.702 ,0.136 ,0.755 
2,1,0,0,4,0,1,9,3,0,1,5,1,40,1,1,0,0,0,50,4.25 ,3,3.00 ,3.00 ,0,5,5,5,2,4,1,60000,2,2,62106 ,10784.7954 ,2.058 ,0.146 ,0.723 
1,0,1,1,3,1,1,16,0,1,1,3,1,10,2,0,0,0,0,120,6.75 ,3,3.00 ,2.00 ,0,4,8,8,5,4,1,400000,4,3,44968 ,17083.3066 ,3.089 ,0.124 ,0.751 
2,1,0,0,5,0,1,9,2,3,1,5,1,50,2,1,1,1,0,180,6.00 ,3,2.50 ,3.00 ,0,3,10,10,3,4,0,200000,4,1,86003 ,11934.1041 ,2.218 ,0.112 ,0.716 
2,0,0,0,5,0,1,6,2,3,1,5,0,0,1,0,0,0,0,360,5.50 ,3,3.50 ,3.00 ,0,4,4,3,3,4,0,200000,4,1,86003 ,11934.1041 ,2.218 ,0.112 ,0.716 
2,0,1,0,4,0,1,9,0,0,1,5,1,8,1,0,0,0,0,300,6.25 ,5,1.00 ,4.00 ,0,4,10,10,4,5,0,120000,3,1,144390 ,17500.1409 ,2.113 ,0.099 ,0.796 
1,1,1,1,3,1,1,9,0,3,1,5,1,70,2,0,0,0,0,120,4.25 ,3,3.00 ,3.00 ,0,1,10,10,3,1,1,100000,3,3,61716 ,14276.1347 ,2.784 ,0.105 ,0.794 
2,1,1,0,1,0,1,9,3,0,1,1,1,60,5,1,0,1,0,180,3.75 ,1,1.00 ,5.00 ,0,4,10,8,3,4,0,60000,4,1,101905 ,14642.5535 ,2.411 ,0.111 ,0.711 
2,1,0,0,4,1,1,12,1,3,1,5,1,63,2,1,0,0,1,60,5.50 ,4,2.00 ,5.00 ,0,2,10,10,5,4,1,90000,3,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
2,0,0,0,4,1,1,9,1,3,1,4,1,48,5,0,0,0,0,120,6.50 ,2,4.50 ,1.00 ,0,3,10,10,4,5,1,90000,3,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
2,0,0,0,6,0,1,6,3,3,1,5,1,5,2,0,0,0,0,30,4.50 ,4,4.50 ,4.50 ,0,2,9,8,3,5,1,50000,1,3,44968 ,17083.3066 ,3.089 ,0.124 ,0.751 
2,1,1,1,4,0,1,9,4,0,1,5,1,70,2,0,0,0,0,120,2.50 ,3,1.00 ,3.00 ,0,2,8,10,3,4,1,50000,2,3,44968 ,17083.3066 ,3.089 ,0.124 ,0.751 
2,1,0,0,4,0,1,9,0,3,1,5,1,80,2,1,0,1,1,0,7.75 ,5,5.00 ,5.00 ,0,5,0,10,3,4,0,80000,2,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,0,0,0,4,0,1,6,0,3,1,3,1,56,1,0,1,0,0,120,5.75 ,4,3.00 ,4.00 ,0,3,8,8,3,4,0,80000,2,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,1,1,0,6,0,1,9,4,9,1,4,1,70,1,1,0,0,0,480,4.50 ,1,1.00 ,4.00 ,0,3,10,10,5,2,0,25000,1,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,0,1,0,6,0,1,0,4,9,1,4,1,40,2,0,0,1,1,240,4.50 ,3,5.00 ,4.00 ,0,2,10,10,1,4,0,25000,1,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,1,0,0,1,0,1,9,4,0,0,5,1,80,2,0,1,1,0,150,3.50 ,3,3.00 ,4.50 ,0,4,10,10,5,3,1,100000,4,2,73675 ,16881.6432 ,2.422 ,0.138 ,0.799 
2,0,1,1,4,1,1,16,4,0,1,5,2,40,2,1,0,0,1,120,6.00 ,5,4.50 ,5.00 ,0,4,7,3,3,4,1,120000,3,3,44968 ,17083.3066 ,3.089 ,0.124 ,0.751 
2,1,1,0,2,1,1,6,1,3,1,5,1,84,2,1,0,1,0,0,4.75 ,3,1.00 ,3.00 ,0,3,9,10,1,4,1,48000,2,2,51096 ,17592.7396 ,1.886 ,0.156 ,0.756 
2,0,1,0,2,1,1,9,1,3,1,5,1,96,2,0,0,1,0,120,3.25 ,1,1.00 ,4.50 ,0,2,10,5,1,3,1,48000,2,2,51096 ,17592.7396 ,1.886 ,0.156 ,0.756 
1,1,1,1,3,1,1,16,3,4,0,3,2,60,5,0,0,0,0,300,3.25 ,2,5.00 ,1.00 ,0,1,10,4,3,4,1,130000,3,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
1,0,1,0,3,1,1,16,1,1,1,2,2,40,5,0,1,1,0,360,4.50 ,2,3.50 ,2.00 ,0,5,8,8,3,5,1,180000,4,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
2,1,1,0,6,0,1,6,0,10,1,5,2,40,5,1,1,1,1,360,8.75 ,4,1.00 ,4.00 ,0,3,6,5,3,4,1,150000,3,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
1,0,1,0,3,1,1,12,3,0,0,4,1,56,2,1,1,1,0,60,4.75 ,1,2.00 ,1.50 ,0,4,10,10,3,4,1,130000,3,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
2,1,1,0,3,0,0,12,3,0,1,4,1,30,0,0,0,1,0,300,4.50 ,3,2.50 ,3.50 ,0,2,5,3,2,4,1,130000,3,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
1,0,1,0,3,1,1,16,1,4,1,4,1,60,2,1,1,1,0,120,4.50 ,2,1.50 ,4.00 ,0,3,4,2,3,2,1,180000,4,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
2,1,1,0,4,1,1,15,1,0,1,5,1,10,2,1,0,0,0,120,5.00 ,4,4.00 ,2.00 ,0,1,5,5,3,2,1,150000,4,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
2,1,1,1,4,1,1,16,2,0,1,4,2,35,5,0,0,1,0,240,6.25 ,4,4.00 ,3.50 ,0,2,8,7,3,4,1,370000,4,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
2,0,0,0,6,0,1,9,1,0,1,4,1,84,5,0,0,0,0,60,3.75 ,3,2.50 ,3.00 ,0,3,10,10,4,5,1,200000,3,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
2,1,0,0,6,0,1,9,1,0,1,5,1,96,2,1,1,1,1,30,7.50 ,3,4.50 ,4.50 ,0,2,10,10,3,4,1,200000,3,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
2,1,0,0,8,0,1,12,1,3,1,5,1,40,4,1,0,0,0,3,4.00 ,3,4.00 ,4.00 ,0,2,5,5,4,2,1,150000,3,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
2,1,0,0,6,0,1,9,3,6,1,5,1,48,5,1,1,1,1,240,6.00 ,5,5.00 ,3.50 ,0,3,10,10,3,4,1,70000,2,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
2,0,0,0,6,0,1,6,2,6,1,5,1,24,1,0,0,1,0,0,4.50 ,4,3.00 ,4.00 ,0,4,7,5,5,5,1,65000,2,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
2,1,0,0,2,0,1,9,0,0,1,5,1,60,5,1,0,1,0,720,5.00 ,3,4.50 ,3.00 ,0,4,7,10,1,2,0,120000,4,2,73675 ,16881.6432 ,2.422 ,0.138 ,0.799 
2,0,0,0,2,0,1,9,0,0,1,4,1,60,5,1,1,1,1,210,6.00 ,3,2.50 ,3.00 ,0,4,7,7,3,4,0,120000,4,2,73675 ,16881.6432 ,2.422 ,0.138 ,0.799 
2,1,1,0,3,0,1,9,2,0,0,5,1,70,5,1,0,1,1,120,6.50 ,2,5.00 ,5.00 ,0,3,5,1,3,4,1,80000,3,1,68775 ,14918.8230 ,2.210 ,0.147 ,0.668 
2,0,1,0,3,1,1,16,0,0,1,4,2,40,5,0,0,1,0,480,4.50 ,3,4.50 ,1.50 ,0,3,5,8,3,4,1,200000,4,2,73675 ,16881.6432 ,2.422 ,0.138 ,0.799 
2,0,1,0,3,1,1,6,11,3,1,5,1,30,3,0,1,1,0,30,7.50 ,3,1.00 ,5.00 ,0,4,10,2,5,4,0,70000,3,1,86003 ,11934.1041 ,2.218 ,0.112 ,0.716 
2,0,0,0,7,1,1,16,1,3,1,5,1,36,5,0,0,0,0,180,6.50 ,2,4.00 ,1.00 ,0,4,7,6,3,2,1,480000,4,1,118496 ,18272.4342 ,1.897 ,0.104 ,0.777 
2,0,1,1,4,1,1,16,1,1,1,5,2,60,5,0,1,0,0,300,5.75 ,4,1.00 ,5.00 ,0,5,10,10,3,3,1,120000,3,2,51096 ,17592.7396 ,1.886 ,0.156 ,0.756 
2,0,1,0,6,1,1,15,14,3,1,5,2,47,2,0,0,0,0,120,5.00 ,1,4.00 ,4.00 ,0,4,9,9,3,5,1,180000,3,2,70923 ,16097.7694 ,2.192 ,0.136 ,0.697 
1,0,1,0,3,0,1,15,2,3,1,4,1,45,5,0,1,0,0,30,3.50 ,2,2.00 ,3.00 ,0,2,7,5,3,4,0,100000,3,1,118496 ,18272.4342 ,1.897 ,0.104 ,0.777 
2,0,1,0,4,0,1,12,8,6,1,4,0,0,2,1,0,0,1,120,5.75 ,3,2.00 ,3.00 ,0,4,6,5,3,4,1,300000,4,1,118496 ,18272.4342 ,1.897 ,0.104 ,0.777 
2,1,1,0,6,0,1,9,1,0,1,4,1,66,3,1,0,1,0,120,5.50 ,2,1.50 ,3.00 ,0,4,7,5,3,4,1,80000,3,2,92059 ,14756.7933 ,2.163 ,0.110 ,0.853 
2,1,1,1,6,0,1,19,0,3,1,3,2,40,2,1,0,1,0,120,3.75 ,3,3.50 ,1.00 ,0,4,7,7,3,2,1,200000,3,1,126829 ,13589.3505 ,2.154 ,0.113 ,0.809 
1,0,1,0,3,1,1,16,1,1,1,3,1,42,5,0,0,1,0,120,6.50 ,4,2.00 ,3.50 ,0,4,5,5,3,4,0,150000,4,1,101905 ,14642.5535 ,2.411 ,0.111 ,0.711 
2,0,0,0,5,0,1,9,1,0,1,3,1,42,1,0,1,1,1,120,4.50 ,3,2.50 ,4.50 ,0,4,6,5,3,3,0,80000,2,1,101905 ,14642.5535 ,2.411 ,0.111 ,0.711 
3,0,1,0,3,0,1,9,8,0,1,3,1,56,1,0,0,0,0,180,6.25 ,3,1.00 ,4.00 ,0,3,8,6,4,3,0,65000,2,1,101905 ,14642.5535 ,2.411 ,0.111 ,0.711 
2,1,1,0,8,1,1,12,5,0,1,5,2,63,2,1,0,0,0,60,5.75 ,3,3.00 ,5.00 ,0,2,5,6,2,3,1,20000,1,3,67777 ,14228.1586 ,2.315 ,0.131 ,0.597 
2,1,0,0,6,0,1,6,2,0,1,4,1,30,2,0,0,1,0,150,6.25 ,2,2.00 ,3.00 ,0,3,7,8,3,4,0,100000,2,2,62106 ,10784.7954 ,2.058 ,0.146 ,0.723 
3,0,0,0,6,0,1,6,2,0,1,4,1,48,5,0,0,1,0,180,5.25 ,2,3.50 ,3.00 ,0,2,5,6,4,4,0,100000,2,2,62106 ,10784.7954 ,2.058 ,0.146 ,0.723 
2,1,1,0,5,0,1,9,0,3,1,2,1,63,2,1,1,0,0,200,0.75 ,1,5.00 ,1.50 ,0,3,10,5,1,3,1,100000,2,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,1,0,0,6,0,1,9,4,0,0,5,1,70,2,1,0,1,0,120,3.75 ,1,2.00 ,2.00 ,0,2,8,8,3,3,1,100000,2,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
