Y,age,gender,urban,party,fam_size,hukou,ethno,education,age_gap,edu_gap,gender_pref,mar_satisfy,work,work_hour,insurance,care_from_par,fin_from_par,fin_par,care_par,internet,social_trust,social_status,fixed_mind,growth_mind,religion,gover_evalu,reg_eldercare,reg_childcare,health,reg_medicare,house,fam_income,fam_income_rel,area,reg_econ,reg_svc,reg_urgap,reg_eduratio,reg_mobility
2,43,1,1,0,3,0,1,9,0,0,1,4,1,70,5,0,1,1,0,90,6.5,2,2,3.5,0,4,4,4,3,4,0,200000,4,1,126829,13589.35053,2.153799976,0.11317992,0.8093352
2,41,0,1,0,5,0,1,9,4,0,1,5,0,0,1,0,0,0,0,300,5.5,3,3,3,0,3,5,5,3,5,1,70000,2,1,86003,11934.1041,2.218453189,0.11183889,0.7159051
3,45,1,1,0,5,0,1,9,4,0,1,5,1,90,3,0,1,1,0,120,5.5,3,1,4,0,4,3,4,3,4,1,70000,2,1,86003,11934.1041,2.218453189,0.11183889,0.7159051
2,35,0,1,0,4,1,1,15,1,1,1,5,1,40,5,0,0,0,0,300,7.25,3,1,4.5,0,3,7,7,3,4,1,200000,4,1,86003,11934.1041,2.218453189,0.11183889,0.7159051
3,56,1,1,0,2,1,1,15,3,3,1,5,2,40,5,0,0,0,0,60,4.75,3,3,3,0,4,10,8,1,4,1,100000,4,1,86003,11934.1041,2.218453189,0.11183889,0.7159051
1,41,1,1,0,3,0,1,12,3,0,1,4,1,40,5,1,0,0,0,120,6,3,2,4,0,3,7,7,3,4,0,40000,2,2,62106,10784.79538,2.058298123,0.14573039,0.7231667
2,44,0,1,0,3,0,1,12,3,0,1,4,1,42,2,1,0,1,0,420,6.25,3,2.5,4,0,3,7,8,3,4,0,40000,2,2,62106,10784.79538,2.058298123,0.14573039,0.7231667
2,30,1,1,0,7,0,1,6,2,3,0,3,1,56,5,1,0,0,0,0,7,3,3,3,0,4,8,6,2,3,1,65000,1,2,62106,10784.79538,2.058298123,0.14573039,0.7231667
2,46,1,1,0,2,0,1,9,0,3,1,5,1,70,2,1,1,1,0,90,5.75,2,3,3,0,3,8,7,2,4,0,50000,3,1,119235,20028.09978,1.826555931,0.09558768,0.6302288
2,46,0,1,0,2,0,1,6,0,3,1,4,1,70,2,0,0,0,0,120,5,2,3,2.5,0,3,10,8,1,2,0,50000,3,1,119235,20028.09978,1.826555931,0.09558768,0.6302288
3,60,1,0,0,6,0,1,12,0,12,1,3,0,0,1,0,0,0,0,0,5.75,3,3,3,0,3,7,5,3,4,0,70000,1,2,62106,10784.79538,2.058298123,0.14573039,0.7231667
2,35,1,0,0,6,0,1,12,0,0,1,4,2,48,3,1,0,0,0,180,5.25,3,1.5,3,0,4,10,5,3,4,0,70000,1,2,62106,10784.79538,2.058298123,0.14573039,0.7231667
2,36,0,0,0,3,0,1,9,3,6,1,3,1,60,0,0,0,0,1,180,5.75,3,1.5,5,0,3,5,5,5,4,0,50000,2,2,62106,10784.79538,2.058298123,0.14573039,0.7231667
2,56,1,0,0,5,0,1,6,2,6,1,5,1,50,2,0,0,0,1,0,4.5,2,2,2.5,0,2,5,5,1,3,1,70000,2,2,62106,10784.79538,2.058298123,0.14573039,0.7231667
2,34,0,1,0,4,0,1,9,2,3,1,5,1,50,1,0,0,1,0,90,3.25,3,1,5,0,2,0,10,5,5,0,60000,2,2,62106,10784.79538,2.058298123,0.14573039,0.7231667
