Y,age,gender,urban,party,fam_size,hukou,ethno,education,age_gap,edu_gap,gender_pref,mar_satisfy,work,work_hour,insurance,care_from_par,fin_from_par,fin_par,care_par,internet,social_trust,social_status,fixed_mind,growth_mind,religion,gover_evalu,reg_eldercare,reg_childcare,health,reg_medicare,fam_eduratio,house,fam_income,fam_income_rel,area,reg_svc,reg_urgap,reg_edu
3,35,0,1,0,4,0,1,9,5,3,1,5,0,0,2,0,0,1,0,300,3.25 ,2,3.00 ,4.00 ,0,4,10,10,1,2,0.102 ,0,100000,3,1,13589.3505 ,2.154 ,22.6200 
2,57,1,0,0,2,0,1,9,1,0,1,3,1,40,1,0,0,0,0,30,4.00 ,4,1.50 ,4.50 ,0,1,10,10,5,4,0.000 ,0,16000,2,1,11934.1041 ,2.218 ,20.5300 
2,43,1,1,0,3,0,1,9,0,0,1,4,1,70,5,0,1,1,0,90,6.50 ,2,2.00 ,3.50 ,0,4,4,4,3,4,0.000 ,0,200000,4,1,13589.3505 ,2.154 ,22.6200 
2,41,0,1,0,5,0,1,9,4,0,1,5,0,0,1,0,0,0,0,300,5.50 ,3,3.00 ,3.00 ,0,3,5,5,3,5,0.429 ,1,70000,2,1,11934.1041 ,2.218 ,20.5300 
3,45,1,1,0,5,0,1,9,4,0,1,5,1,90,3,0,1,1,0,120,5.50 ,3,1.00 ,4.00 ,0,4,3,4,3,4,0.429 ,1,70000,2,1,11934.1041 ,2.218 ,20.5300 
2,35,0,1,0,4,1,1,15,1,1,1,5,1,40,5,0,0,0,0,300,7.25 ,3,1.00 ,4.50 ,0,3,7,7,3,4,0.171 ,1,200000,4,1,11934.1041 ,2.218 ,20.5300 
4,56,1,1,0,2,1,1,15,3,3,1,5,2,40,5,0,0,0,0,60,4.75 ,3,3.00 ,3.00 ,0,4,10,8,1,4,0.006 ,1,100000,4,1,11934.1041 ,2.218 ,20.5300 
1,41,1,1,0,3,0,1,12,3,0,1,4,1,40,5,1,0,0,0,120,6.00 ,3,2.00 ,4.00 ,0,3,7,7,3,4,0.133 ,0,40000,2,2,10784.7954 ,2.058 ,16.9900 
2,44,0,1,0,3,0,1,12,3,0,1,4,1,42,2,1,0,1,0,420,6.25 ,3,2.50 ,4.00 ,0,3,7,8,3,4,0.133 ,0,40000,2,2,10784.7954 ,2.058 ,16.9900 
2,30,1,1,0,7,0,1,6,2,3,0,3,1,56,5,1,0,0,0,0,7.00 ,3,3.00 ,3.00 ,0,4,8,6,2,3,0.600 ,1,65000,1,2,10784.7954 ,2.058 ,16.9900 
2,46,1,1,0,2,0,1,9,0,3,1,5,1,70,2,1,1,1,0,90,5.75 ,2,3.00 ,3.00 ,0,3,8,7,2,4,0.000 ,0,50000,3,1,20028.0998 ,1.827 ,30.4400 
2,46,0,1,0,2,0,1,6,0,3,1,4,1,70,2,0,0,0,0,120,5.00 ,2,3.00 ,2.50 ,0,3,10,8,1,2,0.000 ,0,50000,3,1,20028.0998 ,1.827 ,30.4400 
3,60,1,0,0,6,0,1,12,0,12,1,3,0,0,1,0,0,0,0,0,5.75 ,3,3.00 ,3.00 ,0,3,7,5,3,4,0.667 ,0,70000,1,2,10784.7954 ,2.058 ,16.9900 
2,35,1,0,0,6,0,1,12,0,0,1,4,2,48,3,1,0,0,0,180,5.25 ,3,1.50 ,3.00 ,0,4,10,5,3,4,0.667 ,0,70000,1,2,10784.7954 ,2.058 ,16.9900 
2,36,0,0,0,3,0,1,9,3,6,1,3,1,60,0,0,0,0,1,180,5.75 ,3,1.50 ,5.00 ,0,3,5,5,5,4,0.000 ,0,50000,2,2,10784.7954 ,2.058 ,16.9900 
2,56,1,0,0,5,0,1,6,2,6,1,5,1,50,2,0,0,0,1,0,4.50 ,2,2.00 ,2.50 ,0,2,5,5,1,3,0.222 ,1,70000,2,2,10784.7954 ,2.058 ,16.9900 
2,34,0,1,0,4,0,1,9,2,3,1,5,1,50,1,0,0,1,0,90,3.25 ,3,1.00 ,5.00 ,0,2,0,10,5,5,0.036 ,0,60000,2,2,10784.7954 ,2.058 ,16.9900 
2,32,0,1,0,4,0,1,12,1,0,1,5,0,0,4,0,0,0,0,300,5.00 ,3,3.00 ,3.50 ,0,3,6,7,4,4,0.167 ,1,160000,3,3,26422.1106 ,2.321 ,30.0500 
2,49,0,0,0,3,0,1,6,0,0,1,3,1,46,2,0,0,1,1,0,5.25 ,3,3.00 ,3.50 ,0,4,7,6,1,4,0.179 ,1,75000,3,2,10784.7954 ,2.058 ,16.9900 
2,49,1,0,0,3,0,1,6,0,0,1,5,1,36,3,0,0,1,0,30,6.75 ,3,4.00 ,1.00 ,0,3,10,10,1,2,0.179 ,1,75000,3,2,10784.7954 ,2.058 ,16.9900 
2,25,0,1,1,7,0,1,9,2,0,1,4,1,80,2,0,1,1,0,120,3.25 ,1,1.00 ,5.00 ,0,1,10,10,3,2,0.000 ,1,200000,3,2,10784.7954 ,2.058 ,16.9900 
2,35,0,1,0,4,1,1,15,1,0,1,4,1,20,1,0,0,0,0,240,7.25 ,3,2.50 ,5.00 ,0,2,8,8,4,4,0.150 ,1,205000,4,2,10784.7954 ,2.058 ,16.9900 
0,46,1,0,0,4,1,1,16,5,1,0,4,1,40,5,0,0,0,1,49,5.75 ,3,2.00 ,3.00 ,0,4,8,8,3,4,0.000 ,0,70000,3,1,34199.4048 ,2.418 ,46.0200 
1,45,0,1,0,4,1,1,15,4,1,1,5,1,63,3,0,0,1,0,240,7.25 ,4,3.00 ,3.00 ,0,5,9,7,4,4,0.643 ,0,370000,4,1,34199.4048 ,2.418 ,46.0200 
1,49,1,1,0,4,1,1,16,4,1,1,5,1,40,5,1,1,1,1,150,7.75 ,3,2.50 ,5.00 ,0,4,6,6,4,4,0.643 ,0,370000,4,1,34199.4048 ,2.418 ,46.0200 
1,45,0,1,0,3,1,1,12,21,3,1,5,0,0,2,0,0,1,0,120,8.25 ,3,2.50 ,3.00 ,0,4,5,5,5,4,0.000 ,1,90000,3,1,34199.4048 ,2.418 ,46.0200 
2,36,1,1,0,7,1,1,12,2,3,1,5,0,0,2,1,1,1,0,600,3.75 ,2,2.50 ,5.00 ,0,3,7,3,4,4,0.053 ,0,250000,3,1,34199.4048 ,2.418 ,46.0200 
