Y,gender,urban,party,fam_size,hukou,ethno,education,age_gap,edu_gap,gender_pref,mar_satisfy,work,work_hour,insurance,care_from_par,fin_from_par,fin_par,care_par,internet,social_trust,social_status,fixed_mind,growth_mind,religion,gover_evalu,reg_eldercare,reg_childcare,health,reg_medicare,house,fam_income,fam_income_rel,area,reg_econ,reg_svc,reg_urgap,reg_eduratio,reg_mobility
1,0,1,0,3,1,1,16,2,0,1,5,2,45,5,0,0,0,0,360,5.50 ,3,1.50 ,2.50 ,0,3,8,7,3,4,1,250000,4,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
1,1,0,0,3,0,1,9,3,0,0,5,1,96,1,0,1,0,0,30,3.75 ,1,5.00 ,2.00 ,0,1,10,10,4,4,0,80000,3,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
2,1,0,0,5,0,1,6,0,3,1,5,1,50,1,0,0,0,0,240,4.25 ,1,2.50 ,3.00 ,0,4,5,7,4,4,0,73000,2,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,1,1,0,5,1,1,12,0,3,1,5,2,96,5,1,1,1,1,200,3.75 ,3,1.00 ,3.00 ,0,3,3,8,4,3,1,120000,2,2,73675 ,16881.6432 ,2.422 ,0.138 ,0.799 
1,1,1,0,2,1,1,16,2,4,0,5,1,40,0,0,0,0,0,240,5.75 ,3,5.00 ,1.00 ,0,2,9,9,3,4,1,200000,4,1,68775 ,14918.8230 ,2.210 ,0.147 ,0.668 
2,1,1,0,7,0,1,6,2,3,0,3,1,56,5,1,0,0,0,0,7.00 ,3,3.00 ,3.00 ,0,4,8,6,2,3,1,65000,1,2,62106 ,10784.7954 ,2.058 ,0.146 ,0.723 
2,0,1,1,7,0,1,9,2,0,1,4,1,80,2,0,1,1,0,120,3.25 ,1,1.00 ,5.00 ,0,1,10,10,3,2,1,200000,3,2,62106 ,10784.7954 ,2.058 ,0.146 ,0.723 
2,0,1,0,4,0,1,12,8,0,0,4,0,0,2,0,1,1,0,360,6.50 ,2,2.50 ,2.00 ,0,4,8,7,4,4,0,30000,3,1,101905 ,14642.5535 ,2.411 ,0.111 ,0.711 
2,0,0,0,6,0,1,9,1,0,1,3,0,0,2,1,1,0,0,300,7.00 ,1,1.00 ,4.50 ,0,2,8,7,1,4,1,45620,1,2,62106 ,10784.7954 ,2.058 ,0.146 ,0.723 
2,0,0,0,4,0,1,15,3,9,1,5,1,40,2,0,0,0,0,240,3.75 ,3,2.00 ,4.50 ,0,4,4,4,3,4,0,100000,4,2,62106 ,10784.7954 ,2.058 ,0.146 ,0.723 
1,0,0,1,4,0,1,9,1,0,1,3,1,6,2,0,1,0,1,200,4.50 ,3,3.00 ,2.50 ,0,4,7,7,4,4,0,30000,1,2,62106 ,10784.7954 ,2.058 ,0.146 ,0.723 
2,0,0,0,3,0,1,9,2,0,1,3,1,70,2,1,0,0,0,300,6.50 ,1,1.50 ,4.00 ,0,3,7,5,3,4,0,124550,3,2,62106 ,10784.7954 ,2.058 ,0.146 ,0.723 
2,0,1,0,5,0,1,9,2,0,1,3,1,6,2,0,0,1,0,5,5.75 ,4,3.00 ,3.50 ,0,1,9,9,3,4,1,80000,2,2,62106 ,10784.7954 ,2.058 ,0.146 ,0.723 
2,0,1,0,4,0,1,6,1,3,1,3,1,63,1,0,0,1,0,40,5.00 ,2,2.50 ,2.50 ,0,2,10,10,2,2,0,24000,1,1,101905 ,14642.5535 ,2.411 ,0.111 ,0.711 
3,0,0,1,6,0,0,0,2,0,1,5,1,30,1,1,0,0,1,30,5.25 ,1,1.00 ,5.00 ,0,3,0,0,5,5,1,30000,1,3,67777 ,14228.1586 ,2.315 ,0.131 ,0.597 
2,0,1,1,5,0,1,15,4,3,1,5,2,28,2,1,0,1,1,300,8.25 ,3,2.50 ,2.50 ,0,4,7,7,3,4,1,70000,2,3,52321 ,15174.6888 ,2.997 ,0.120 ,0.789 
2,0,0,0,7,0,1,9,0,3,1,4,0,0,2,0,0,0,0,120,6.00 ,1,2.50 ,3.00 ,0,3,7,6,4,4,1,150000,2,3,44968 ,17083.3066 ,3.089 ,0.124 ,0.751 
2,0,1,0,2,0,1,9,2,0,1,4,2,10,5,0,1,1,0,120,4.50 ,4,4.00 ,3.50 ,0,4,5,5,4,2,0,128000,4,2,73598 ,13615.3998 ,2.420 ,0.142 ,0.755 
