Y,age,gender,urban,party,fam_size,hukou,ethno,education,age_gap,edu_gap,gender_pref,mar_satisfy,work,work_hour,insurance,care_from_par,fin_from_par,fin_par,care_par,internet,social_trust,social_status,fixed_mind,growth_mind,religion,gover_evalu,reg_eldercare,reg_childcare,health,reg_medicare,house,fam_income_rel,area,reg_econ,reg_svc,reg_urgap,reg_eduratio,reg_mobility,fam_income1
2,30,1,1,0,7,0,1,6,2,3,0,3,1,56,5,1,0,0,0,0,7,3,3,3,0,4,8,6,2,3,1,1,2,62106,10785,2,0,1,11
2,46,1,1,0,2,0,1,9,0,3,1,5,1,70,2,1,1,1,0,90,6,2,3,3,0,3,8,7,2,4,0,3,1,119235,20028,2,0,1,11
2,46,0,1,0,2,0,1,6,0,3,1,4,1,70,2,0,0,0,0,120,5,2,3,3,0,3,10,8,1,2,0,3,1,119235,20028,2,0,1,11
3,60,1,0,0,6,0,1,12,0,12,1,3,0,0,1,0,0,0,0,0,6,3,3,3,0,3,7,5,3,4,0,1,2,62106,10785,2,0,1,11
2,35,1,0,0,6,0,1,12,0,0,1,4,2,48,3,1,0,0,0,180,5,3,2,3,0,4,10,5,3,4,0,1,2,62106,10785,2,0,1,11
2,36,0,0,0,3,0,1,9,3,6,1,3,1,60,0,0,0,0,1,180,6,3,2,5,0,3,5,5,5,4,0,2,2,62106,10785,2,0,1,11
2,56,1,0,0,5,0,1,6,2,6,1,5,1,50,2,0,0,0,1,0,5,2,2,3,0,2,5,5,1,3,1,2,2,62106,10785,2,0,1,11
2,34,0,1,0,4,0,1,9,2,3,1,5,1,50,1,0,0,1,0,90,3,3,1,5,0,2,0,10,5,5,0,2,2,62106,10785,2,0,1,11
2,49,0,0,0,3,0,1,6,0,0,1,3,1,46,2,0,0,1,1,0,5,3,3,4,0,4,7,6,1,4,1,3,2,62106,10785,2,0,1,11
2,49,1,0,0,3,0,1,6,0,0,1,5,1,36,3,0,0,1,0,30,7,3,4,1,0,3,10,10,1,2,1,3,2,62106,10785,2,0,1,11
2,25,0,1,1,7,0,1,9,2,0,1,4,1,80,2,0,1,1,0,120,3,1,1,5,0,1,10,10,3,2,1,3,2,62106,10785,2,0,1,12
2,35,0,1,0,4,1,1,15,1,0,1,4,1,20,1,0,0,0,0,240,7,3,3,5,0,2,8,8,4,4,1,4,2,62106,10785,2,0,1,12
