Y,age,gender,urban,party,fam_size,hukou,ethno,education,age_gap,edu_gap,gender_pref,mar_satisfy,work,work_hour,insurance,care_from_par,fin_from_par,fin_par,care_par,internet,social_trust,social_status,fixed_mind,growth_mind,religion,gover_evalu,reg_eldercare,reg_childcare,health,reg_medicare,house,fam_income,fam_income_rel,area,reg_econ,reg_svc,reg_urgap,reg_eduratio,reg_mobility
1,31,0,1,0,3,1,1,16,2,0,1,5,2,45,5,0,0,0,0,360,5.50 ,3,1.50 ,2.50 ,0,3,8,7,3,4,1,250000,4,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
2,35,1,0,0,4,0,1,9,2,3,1,4,1,84,2,1,0,1,0,120,5.00 ,3,3.50 ,2.00 ,0,2,9,9,3,3,1,85000,2,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
1,34,1,1,0,4,1,1,16,2,0,1,5,2,70,5,1,0,0,0,240,5.75 ,3,3.00 ,3.00 ,0,4,6,6,3,4,0,200000,4,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,34,0,1,0,4,0,1,15,0,3,1,4,0,0,2,1,0,0,0,60,6.25 ,3,1.00 ,2.50 ,0,4,6,5,3,4,1,50000,1,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,52,1,0,0,3,0,1,9,4,0,1,4,1,25,2,0,0,0,0,120,3.00 ,3,2.00 ,4.50 ,0,2,7,7,1,4,1,40000,3,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,48,0,0,0,3,0,1,9,4,0,1,4,1,48,2,0,0,1,0,120,4.25 ,3,3.50 ,5.00 ,0,5,8,8,3,4,1,40000,3,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
1,32,1,0,0,3,0,1,9,3,0,0,5,1,96,1,0,1,0,0,30,3.75 ,1,5.00 ,2.00 ,0,1,10,10,4,4,0,80000,3,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
2,41,0,1,0,4,1,1,12,2,0,1,5,2,4,2,0,0,0,0,180,7.25 ,3,1.00 ,5.00 ,0,4,8,8,4,4,1,65000,2,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,32,1,0,0,5,0,1,6,0,3,1,5,1,50,1,0,0,0,0,240,4.25 ,1,2.50 ,3.00 ,0,4,5,7,4,4,0,73000,2,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,33,0,0,0,4,0,1,9,4,0,1,5,1,8,2,0,0,0,1,60,2.50 ,3,4.00 ,2.50 ,0,4,6,6,1,4,0,37500,1,2,73675 ,16881.6432 ,2.422 ,0.138 ,0.799 
2,37,1,0,0,4,0,1,9,0,0,1,5,1,56,2,1,0,1,1,180,6.75 ,3,4.00 ,5.00 ,0,4,7,5,3,4,0,100000,3,1,190313 ,34199.4048 ,2.418 ,0.086 ,0.942 
