Y,gender,urban,party,fam_size,hukou,ethno,education,age_gap,edu_gap,gender_pref,mar_satisfy,work,work_hour,insurance,care_from_par,fin_from_par,fin_par,care_par,internet,social_trust,social_status,fixed_mind,growth_mind,religion,gover_evalu,reg_eldercare,reg_childcare,health,reg_medicare,house,fam_income,fam_income_rel,area,reg_econ,reg_svc,reg_urgap,reg_eduratio,reg_mobility
1,1,1,0,5,1,1,12,1,0,1,4,0,0,2,0,1,0,1,180,7.25 ,3,3.50 ,3.00 ,0,3,10,6,3,4,0,170000,3,1,190313 ,34199.4048 ,2.418 ,0.086 ,0.942 
1,0,1,0,5,1,1,12,1,0,1,4,0,0,2,0,0,0,0,720,4.50 ,4,3.50 ,3.50 ,0,2,8,7,5,4,0,170000,3,1,190313 ,34199.4048 ,2.418 ,0.086 ,0.942 
3,1,1,0,2,0,1,6,1,6,1,5,1,91,2,1,1,1,0,120,6.00 ,3,3.00 ,4.00 ,0,3,5,6,5,3,0,100000,4,1,190313 ,34199.4048 ,2.418 ,0.086 ,0.942 
3,0,1,0,2,0,1,0,1,6,1,4,1,63,1,0,0,1,1,120,7.00 ,4,3.00 ,3.50 ,0,5,6,3,3,3,0,100000,4,1,190313 ,34199.4048 ,2.418 ,0.086 ,0.942 
1,1,1,0,3,1,0,16,2,4,0,5,1,15,5,0,0,1,1,180,5.75 ,3,5.00 ,1.00 ,0,3,8,3,3,1,1,103500,4,1,190313 ,34199.4048 ,2.418 ,0.086 ,0.942 
2,1,0,0,6,0,1,9,4,9,1,5,1,70,2,1,0,1,0,0,6.25 ,2,3.00 ,3.00 ,0,4,8,8,5,4,1,80000,2,2,62106 ,10784.7954 ,2.058 ,0.146 ,0.723 
2,1,0,0,6,1,1,9,0,3,1,5,1,12,2,0,0,0,0,0,7.00 ,3,2.50 ,4.50 ,0,5,0,1,3,4,1,45620,1,2,62106 ,10784.7954 ,2.058 ,0.146 ,0.723 
1,1,1,0,3,0,1,6,1,0,0,5,1,56,2,0,0,1,1,120,7.25 ,3,1.00 ,5.00 ,0,4,3,3,5,3,0,120000,4,1,101905 ,14642.5535 ,2.411 ,0.111 ,0.711 
1,0,1,0,3,0,1,6,1,0,1,5,1,40,5,0,0,0,0,0,5.00 ,1,1.50 ,5.00 ,0,2,8,8,4,4,0,120000,4,1,101905 ,14642.5535 ,2.411 ,0.111 ,0.711 
3,1,1,0,4,1,1,12,2,0,1,3,1,40,4,0,0,1,0,120,2.00 ,1,3.00 ,3.00 ,0,2,6,8,3,4,0,75000,3,1,101905 ,14642.5535 ,2.411 ,0.111 ,0.711 
1,0,1,0,4,1,1,12,2,0,0,5,1,60,5,1,1,0,0,30,2.25 ,1,2.00 ,2.00 ,0,2,10,7,1,4,0,75000,3,1,101905 ,14642.5535 ,2.411 ,0.111 ,0.711 
2,1,0,1,2,0,1,9,4,0,1,5,2,40,2,1,0,1,1,180,6.00 ,3,1.00 ,5.00 ,0,4,10,8,4,2,1,80000,3,2,73598 ,13615.3998 ,2.420 ,0.142 ,0.755 
2,1,1,0,6,1,0,9,7,0,1,5,1,70,1,1,0,0,0,300,4.00 ,3,1.50 ,3.00 ,0,4,8,7,5,2,1,68400,3,3,52164 ,11676.8774 ,2.277 ,0.124 ,0.800 
2,1,0,0,4,0,1,12,0,3,1,5,1,30,1,0,0,0,0,120,7.75 ,3,3.50 ,3.00 ,0,3,7,6,4,4,1,80000,2,1,101905 ,14642.5535 ,2.411 ,0.111 ,0.711 
2,1,1,0,5,0,1,12,1,3,1,5,1,60,5,0,0,1,1,60,6.25 ,4,1.00 ,5.00 ,0,4,8,7,3,4,1,300000,4,1,101905 ,14642.5535 ,2.411 ,0.111 ,0.711 
2,1,0,0,4,0,1,12,9,3,1,4,0,0,2,0,1,1,0,30,4.50 ,2,2.00 ,1.00 ,0,2,8,3,1,2,0,40000,1,3,44968 ,17083.3066 ,3.089 ,0.124 ,0.751 
2,1,0,0,6,0,1,0,2,0,1,4,1,42,2,1,0,1,0,0,4.25 ,4,4.00 ,4.50 ,0,3,3,5,3,2,1,6000,1,3,44968 ,17083.3066 ,3.089 ,0.124 ,0.751 
2,0,0,0,6,0,1,0,2,0,1,5,1,6,2,0,0,1,0,120,4.50 ,5,5.00 ,3.00 ,0,2,5,5,3,5,1,6000,1,3,44968 ,17083.3066 ,3.089 ,0.124 ,0.751 
2,1,1,1,4,0,0,6,2,3,1,5,1,56,2,1,0,0,1,60,7.00 ,3,1.00 ,5.00 ,0,2,10,2,3,3,1,100000,3,3,61716 ,14276.1347 ,2.784 ,0.105 ,0.794 
2,0,1,0,4,0,0,9,2,3,1,4,1,49,4,0,0,0,0,30,6.00 ,4,1.00 ,4.50 ,0,4,2,2,5,5,1,100000,3,3,61716 ,14276.1347 ,2.784 ,0.105 ,0.794 
2,1,1,0,4,0,1,9,1,3,1,4,1,56,2,0,0,1,0,60,6.00 ,2,2.50 ,5.00 ,0,4,5,5,3,4,1,75000,2,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
1,0,1,0,3,1,1,12,1,3,1,4,1,50,5,0,0,0,0,30,5.75 ,3,3.00 ,4.00 ,0,3,8,6,3,4,1,180000,4,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
1,1,1,1,3,1,1,15,1,3,1,5,2,40,5,0,0,1,1,240,6.25 ,5,2.00 ,3.00 ,0,5,10,10,3,4,1,180000,4,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,1,1,0,2,0,1,9,2,3,1,5,1,84,4,0,0,0,0,30,5.00 ,1,5.00 ,5.00 ,0,3,5,5,3,4,0,150000,4,1,68775 ,14918.8230 ,2.210 ,0.147 ,0.668 
2,0,1,0,4,1,1,12,4,6,1,5,1,70,2,1,0,0,0,180,4.25 ,3,4.00 ,2.50 ,0,4,5,5,3,4,1,45000,1,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
2,1,1,0,4,1,1,6,4,6,1,3,1,72,5,0,1,1,1,0,3.50 ,3,3.50 ,5.00 ,0,3,8,5,5,4,1,45000,1,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
2,1,1,1,3,1,1,15,9,1,1,4,2,40,5,0,0,0,0,120,5.75 ,3,1.50 ,2.00 ,0,3,8,6,3,4,1,250000,4,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
2,0,1,0,3,1,1,16,9,1,1,4,2,40,5,0,0,0,0,180,7.00 ,3,3.00 ,4.00 ,0,4,5,5,3,3,1,250000,4,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
2,1,1,0,2,1,1,15,0,1,1,3,2,26,5,0,0,0,0,30,5.00 ,2,3.50 ,2.50 ,0,4,6,6,2,4,1,120000,4,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
1,1,1,0,3,1,1,12,1,4,1,5,1,80,2,0,0,0,0,120,0.50 ,2,3.00 ,1.00 ,0,1,9,5,3,2,1,180000,4,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
1,1,1,0,2,1,1,9,5,3,0,5,1,4,2,0,0,1,1,0,4.50 ,3,2.00 ,1.00 ,0,3,0,7,3,2,1,240000,4,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
2,1,1,0,2,1,1,9,3,7,1,5,1,10,2,0,0,0,1,60,5.75 ,4,2.00 ,2.00 ,0,4,10,10,3,4,1,140000,4,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
2,1,1,0,3,1,1,9,0,3,1,5,1,35,2,0,0,0,0,0,6.50 ,3,2.00 ,4.00 ,0,4,8,8,3,5,1,170000,4,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
2,0,1,0,4,1,1,16,2,0,1,4,2,35,5,0,0,1,0,120,6.00 ,4,1.50 ,3.00 ,0,4,8,7,3,4,1,370000,4,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
2,0,1,0,3,1,1,12,2,0,1,4,1,54,5,0,0,1,0,120,7.50 ,1,2.50 ,4.00 ,0,3,10,10,5,5,1,120000,3,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
1,1,1,0,3,1,1,12,2,0,1,5,0,0,2,0,0,0,1,120,5.50 ,4,4.00 ,4.00 ,0,4,8,8,3,3,1,120000,3,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
2,1,0,0,4,0,1,9,0,3,1,5,1,96,2,0,0,1,1,360,4.50 ,3,3.00 ,3.00 ,0,4,5,5,3,5,1,200000,4,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
2,0,0,0,4,0,1,6,0,3,1,5,0,0,2,0,0,0,1,0,6.75 ,3,3.50 ,3.00 ,0,4,7,6,3,4,1,200000,4,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
1,1,0,0,8,0,1,9,0,0,1,5,1,60,2,0,0,0,0,0,5.00 ,4,3.50 ,4.50 ,0,3,5,6,3,4,1,150000,3,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
2,1,0,0,6,0,1,12,2,6,1,5,1,63,1,1,0,1,0,180,3.25 ,3,3.00 ,4.00 ,0,3,5,5,3,4,1,65000,2,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
1,1,1,0,3,1,1,12,6,3,1,5,1,28,2,0,0,0,0,360,8.25 ,1,3.00 ,5.00 ,0,4,8,8,1,5,1,140000,4,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
2,0,1,0,3,1,1,15,6,3,1,4,1,42,2,0,1,1,1,360,4.75 ,3,3.00 ,1.00 ,0,3,5,5,3,4,1,140000,4,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
2,1,1,0,2,1,1,12,1,0,1,5,1,40,5,0,0,1,1,120,7.50 ,3,3.00 ,3.00 ,0,4,5,2,3,3,1,100500,4,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
1,1,1,0,2,1,1,9,1,0,0,5,2,40,5,0,0,0,0,120,3.25 ,3,3.00 ,3.00 ,0,4,10,6,3,4,1,100000,4,1,119235 ,20028.0998 ,1.827 ,0.096 ,0.630 
2,1,1,0,2,1,1,15,4,3,1,5,1,42,5,0,0,0,0,120,5.00 ,2,5.00 ,1.00 ,0,3,6,8,3,2,0,120000,4,2,73675 ,16881.6432 ,2.422 ,0.138 ,0.799 
